Proband;pb1;pb1_2;pb2;pb3;pb3_2;pb4;pb5;pb5_2;pb7;pb7_2;pb8
Alias_Distance;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog;Spot4_winkellog
distance;703776.5277983381;754332.9143778423;1807281.7737175385;634090.3520219241;650761.0081916902;839061.2910303938;448819.793225935;347737.21019809594;632006.0745335701;459832.6427049051;767823.0433320994
mean_distance;51.06120059481521;54.72922545003572;65.56198845380318;46.00524936675064;47.21475790406227;30.43826783103801;32.5443980295798;25.229428295588473;45.8540284795451;33.34295139619354;27.845907134695707
zero-overhead-counter;126;112;249;326;46;286;136;353;26;195;273
ref before query (rbq);10087;11479;25846;4292;6950;20231;18087;11124;19594;1414;25448
query berfore ref (qbr);12136;10644;16709;14564;13232;17772;1483;6609;1800;18237;11213
max rbq;1852;4244;7166;835;2046;2247;3420;511;4415;140;3729
max qbr;-4380;-2427;-4290;-1550;-1981;-1148;-108;-614;-234;-3260;-1653
max distance;179.84251254401656;179.91846731999618;179.8403849850201;178.9647486858116;179.9508937313986;179.31615077170844;173.56628950591463;175.64694549314586;178.84927888102172;179.82599814011115;179.8908017639131
min distane;1.4255665434739205e-06;2.72018503717298e-06;1.296408302093681e-07;4.8205868324147935e-06;1.7236111424326372e-05;3.691332794234337e-07;5.957178808470674e-06;2.052883160479204e-05;4.283455267657839e-06;1.4229517700584393e-05;8.36768382915572e-07
Alias_Distance;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid;Spot5_euklid
distance;3385755.8151869825;3552031.939573626;9378132.59709895;4029977.903915679;3418749.9858908956;2482650.936510029;2913589.3554098164;3024321.844796139;3317620.172247541;3385973.0803249353;6282023.843543971
mean_distance;210.95051808018582;221.31040121954055;292.16276510479923;251.08896597605477;213.01950189363174;77.34356012679612;181.53204706603216;188.43126758854447;206.71818631986673;210.96405484890562;195.7077741843662
zero-overhead-counter;897;1221;1645;324;268;1485;528;761;359;621;905
ref before query (rbq);8995;5653;31601;0;7508;33207;16954;3881;4653;5287;7077
query berfore ref (qbr);10490;13399;5615;20442;12261;5680;2672;15706;16776;15307;34256
max rbq;516;695;2033;0;828;748;1427;89;165;476;740
max qbr;-1732;-767;-941;-3684;-606;-764;-218;-1595;-3068;-2426;-4702
max distance;513.808924494734;631.4816421770807;1281.6936412605219;560.7610236800721;541.3748650426478;509.2574527070417;570.2629184803958;650.082825970851;585.1698199724788;549.1873815742088;559.7265623183561
min distane;1.4804730726369737;0.5829154098117265;1.0782556839390451;1.006437725496092;1.6797821966543691;0.05760341283010493;0.15899910734248168;0.29288880771848513;0.9431032822047308;0.9400270740955343;0.36420762066481593
Alias_Distance;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel;Spot5_winkel
distance;833619.2586498684;856170.1857853227;2231057.577822045;729118.8609477299;753400.7451643179;672523.3194872537;689964.2528533748;897393.9475673608;898129.3432930338;949499.0843796635;1370136.349869712
mean_distance;51.9388946199295;53.34393680905437;69.50551661491153;45.42796641418878;46.94378124271406;20.951534922809238;42.98842696905762;55.91239548706298;55.9617012457495;59.158821456676854;42.68470512694202
zero-overhead-counter;1244;1208;1135;843;357;1478;753;96;743;712;1165
ref before query (rbq);8013;7001;25128;10726;9702;39488;19266;3461;4999;5200;9673
query berfore ref (qbr);14491;15557;17621;10369;12537;1742;1992;20626;17212;16805;33532
max rbq;700;1676;842;812;1152;1484;1340;661;396;1172;1024
max qbr;-2206;-1500;-2020;-796;-1467;-188;-92;-3349;-3228;-2816;-4066
max distance;179.70239117861976;179.87839604153456;179.97760428671347;179.21097318306934;179.98977748142912;178.5913582893304;179.56371929441917;178.9476186603271;179.90314900506382;179.9281895312012;179.6548603513273
min distane;0.0011201757518271105;0.0013373074453352468;0.0007845185689768207;0.0025226147838618576;0.0005140419325695337;0.0006139433990281174;0.00019423491183642939;0.0006573718884406792;0.0009355189422776309;0.000307563587070955;0.0003340623284022069
Alias_Distance;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog;Spot5_winkellog
distance;759594.4667259661;1036337.5483652577;2041589.6733396412;939001.4456531713;795259.0861590698;521702.33688528003;591575.6131020198;722291.2097965335;820857.7855155772;936077.5774694753;1298446.8473677558
mean_distance;47.32675805146206;64.56931765515624;63.60290580203873;58.50476296904494;49.55194006848213;16.252915570119942;36.85829365121619;45.002567588569065;51.146973986888725;58.32259049654052;40.45131771605831
zero-overhead-counter;803;1202;1058;326;175;1478;192;578;207;272;351
ref before query (rbq);8269;3568;25185;202;18718;39184;19448;12021;5606;5785;9665
